Paying now will save me money in the future,LongTermSavings
I have enough money to cover this,CanAfford
It's within my budget,CanAfford
Budgeted for this,CanAfford
I have taken this into account in my budget,CanAfford
Expected this in my budget,CanAfford
I've factored this into my budget,CanAfford
I took this into consideration when planning my budget,CanAfford
I've taken this into account in my planning already,CanAfford
I'd prefer to pay less interest,PayLessInterest
If it would result in paying less interest,PayLessInterest
I want to pay less interest,PayLessInterest
I'd like to pay less money in interest,PayLessInterest
I want to pay less money in interest,PayLessInterest
If it would result in paying less money in interest,PayLessInterest
I want to be paying less money in interest,PayLessInterest
I'd prefer to pay less money in interest,PayLessInterest
I'd like to pay less interest,PayLessInterest
If it means I'll get to pay less money in interest,PayLessInterest
I want to pay less interest in the long run,PayLessInterest
I want to avoid paying more interest over the lifetime of the mortgage,PayLessInterest
I want to avoid paying too much interest over the life of the mortgage,PayLessInterest
I want to pay the minimum interest over the term,PayLessInterest
I want to minimise the interest I pay over the mortgage,PayLessInterest
I want to pay as little interest as possible over the mortgage term,PayLessInterest
I want to pay less interest over the mortgage,PayLessInterest
I want to minimise the interest i pay over the term,PayLessInterest
I can afford it,CanAfford
I have a big enough budget,CanAfford
My budget can stretch to this,CanAfford
I can afford to do that,CanAfford
I have enough money,CanAfford
I've got enough cash,CanAfford
The overall cost will be lower,PayLessOverall
The overall cost will be less,PayLessOverall
The total cost will be lower,PayLessOverall
The total cost will be less,PayLessOverall
Cost less overall,PayLessOverall
Less expensive overall,PayLessOverall
Reduce the overall cost,PayLessOverall
Pay less overall,PayLessOverall
Keep the overall cost down,PayLessOverall
The cost of over the whole mortgage will be lower,PayLessOverall
I'd pay less over the whole mortgage,PayLessOverall
I'm happy to pay more interest as long as I can avoid the fee,AvoidFee
I'd rather have a higher interest rate and avoid the fee,AvoidFee
Can I pay more interest and avoid the fee,AvoidFee
I don't mind paying more interest but I want to avoid the fee,AvoidFee
I'd prefer having a higher interest rate if it means I can avoid paying a fee,AvoidFee
I don't mind a higher interest rate if I can avoid the fee,AvoidFee
I want to avoid the fee I don't mind paying more interest,AvoidFee
I'm prepared to pay more money in interest as long as I can avoid the fee,AvoidFee
I don't mind paying more interest but I don't want to pay fees,AvoidFee
I'd prefer to pay more interest and avoid the fee,AvoidFee
I want to avoid the fee even if it means paying more interest,AvoidFee
I don't mind incurring more interest as long as I can avoid the fee,AvoidFee
As long as I don't have to pay the fee I can pay more interest,AvoidFee
I don't want to pay the fee but I don't mind having a bit more interest,AvoidFee
I don't have enough money for an up front fee but I don't want to incur extra interest,NoFeeAvoidInterest
I don't have enough savings to pay a fee straight away and I don't want to pay interest on it,NoFeeAvoidInterest
I can't afford to pay upfront and I don't want to pay interest on it,NoFeeAvoidInterest
I can't afford an up front fee but I don't want to pay interest on it,NoFeeAvoidInterest
I don't want to borrow more and pay more interest but I can't afford to pay it now,NoFeeAvoidInterest
I can't pay now and I don't want to incur more interest,NoFeeAvoidInterest
My budget won't cover a fee up front and I want to avoid borrowing any more,NoFeeAvoidInterest
I would like to avoid incurring extra interest but can't pay up front,NoFeeAvoidInterest
My budget won't cover the fee straight away and I don't want to pay interest on it,NoFeeAvoidInterest
I would't want to borrow any more but I can't afford paying now,NoFeeAvoidInterest
I can't borrow any more however I can't pay up front,NoFeeAvoidInterest
I've worked out the total cost and it's not worth me paying the fee,NotWorthPaying
I've done the maths and the fee won't save me any money,NotWorthPaying
I've done the maths and it's not worth paying the fee,NotWorthPaying
I've done some calculations and the fee isn?t worth the money,NotWorthPaying
I've worked out the total cost and the fee won't get be a better deal,NotWorthPaying
I've worked out the total cost and the fee isn't worth it for me,NotWorthPaying
I've worked out the total cost and for me the fee isn't worth the money,NotWorthPaying
I've worked out the total cost and the fee won't save me money,NotWorthPaying
According to my calculations the fee won't be worth it,NotWorthPaying
The fee isn't worth it for me,NotWorthPaying
For my situation it isn't worth me paying the fee,NotWorthPaying
I checked the numbers and the fee won't save me any money,NotWorthPaying
Having done the maths the fee won't save me enough money to make it worthwhile,NotWorthPaying
I don't want to increase the amount I'm borrowing,NoExtraBorrowing
I don't want to borrow any more,NoExtraBorrowing
I don't want to add anything to the amount I'm borrowing,NoExtraBorrowing
I'm already borrowing enough,NoExtraBorrowing
I don't want any additional borrowing,NoExtraBorrowing
I don't want any extra borrowing,NoExtraBorrowing
I don't want to borrow any extra money,NoExtraBorrowing
I don't want to increase my borrowing,NoExtraBorrowing
I don't want to increase the size of my mortgage,NoExtraBorrowing
I want to avoid borrowing any more,NoExtraBorrowing
I want to avoid any extra borrowing,NoExtraBorrowing
I want to avoid borrowing any extra money,NoExtraBorrowing
If I pay it now it means I won't incur interest,AvoidInterestOnFee
I don't want to pay interest on the fee,AvoidInterestOnFee
No interest on fee,AvoidInterestOnFee
I want to avoid paying interest on it,AvoidInterestOnFee
I'm not paying any extra interest,AvoidInterestOnFee
I don't want to incur any extra interest,AvoidInterestOnFee
I don't want to add it to the mortgage and incur interest,AvoidInterestOnFee
I can afford to pay it now so I'll avoid paying interest,AvoidInterestOnFee
I'm not paying interest on it,AvoidInterestOnFee
I want to avoid paying extra interest,AvoidInterestOnFee
I want to avoid paying interest on the fee,AvoidInterestOnFee
So I don't have to pay the fee later,NoFeeLater
So I can focus only on paying the mortgage rate,NoFeeLater
So I don't need to pay later,NoFeeLater
So I don't need to pay the fee later,NoFeeLater
So it's out of the way,NoFeeLater
Get it out the way,NoFeeLater
I want to get the fee out of the way,NoFeeLater
Get the fee out the way,NoFeeLater
I don't want to worry about the fee later,NoFeeLater
I want to get it over and done with,NoFeeLater
Pay the fee now so I don't have to think about it later,NoFeeLater
so I don't have to think about it later,NoFeeLater
Get the fee done now so I can stop thinking about it,NoFeeLater
My budget is already stretched to its limit so I don't want to pay any more,CantAffordNow
I won't have enough spare cash after paying the deposit so I want to add the fee on even if this means paying more interest,CantAffordNow
I have maximised my savings and deposit already so will need to add the fee to the loan,CantAffordNow
Not enough money to pay up front,CantAffordNow
I cant afford to pay up front,CantAffordNow
All my savings have been used so add the fee on,CantAffordNow
I won't have enough spare cash after paying the deposit,CantAffordNow
I'm already spending all my savings,CantAffordNow
I won't have enough spare cash after paying the deposit so I want to add the fee on,CantAffordNow
All my savings are going into my deposit,CantAffordNow
I won't have enough savings after paying the deposit,CantAffordNow
I'm already spending all my savings on the deposit so I want to add the fee on,CantAffordNow
I won't have enough savings after paying the deposit so I want to add the fee on,CantAffordNow
I won't have enough savings,CantAffordNow
I cant afford to pay upfront,CantAffordNow
I don���t have enough money to pay now,CantAffordNow
My budget won't cover the fee as well as my deposit,CantAffordNow
Not enough savings to pay upfront,CantAffordNow
All my savings are going towards my deposit,CantAffordNow
I can't afford to pay the fee upfront,CantAffordNow
I'm already maxing out my savings for the deposit,CantAffordNow
I can't afford to pay the fee now  I've used all my savings,CantAffordNow
I don't have enough spare cash to pay it right now,CantAffordNow
I can't afford to pay the fee up front,CantAffordNow
I won't have enough spare money to pay right now,CantAffordNow
I won't have enough savings after paying the deposit so I want to add the fee on even if this means paying more interest,CantAffordNow
Not enough money to pay upfront,CantAffordNow
I'm already spending all my savings on the deposit,CantAffordNow
I won't have enough savings so I want to add the fee on even if this means paying more interest,CantAffordNow
Not enough savings to pay up front,CantAffordNow
My budget is all going on the deposit,CantAffordNow
I've allocated all my budget for the deposit,CantAffordNow
I maxed out my budget and can't afford to pay the fee now,CantAffordNow
I don't have enough savings right now,CantAffordNow
I realise I'll pay interest on it but I can't afford to pay it now,CantAffordNow
I'm already spending all my savings on the deposit so I want to add the fee on even if this means paying more interest,CantAffordNow
I won't have enough savings so I want to add the fee on,CantAffordNow
I'm using all my savings for my deposit,CantAffordNow
I don't have enough money to pay now,CantAffordNow
" I don't have enough savings to pay up front",CantAffordNow
I'm already stretching my budget for the deposit,CantAffordNow
My deposit is using all my savings,CantAffordNow
All my budget it going towards my deposit,CantAffordNow
I'm already at the top end of my budget,CantAffordNow
Need to spend money on other things,PutMoneyElsewhere
Put money towards furniture instead,PutMoneyElsewhere
I need to keep some cash aside for doing up the house  so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
I need to keep some cash aside for home improvements so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
I need to keep some cash aside for home improvements so I want to add the fee on,PutMoneyElsewhere
I'd like to save money now and spend it elsewhere,PutMoneyElsewhere
I need to save some money to do home improvements when I move in so I want to add the fee on,PutMoneyElsewhere
Using savings for furniture,PutMoneyElsewhere
" I don't mind paying interest on the fee; I have earmarked my remaining savings for a new bathroom",PutMoneyElsewhere
My budget is going towards some building work,PutMoneyElsewhere
I've earmarked the last of my savings for a new kitchen,PutMoneyElsewhere
Spend money on furniture instead,PutMoneyElsewhere
I've earmarked the last of my savings for a new bathroom so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
Using savings for furniture instead,PutMoneyElsewhere
I need to keep some cash aside for doing up the house when I move in so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
I've earmarked the last of my savings,PutMoneyElsewhere
I need to keep some money aside for a new kitchen,PutMoneyElsewhere
Spend money on renovations instead,PutMoneyElsewhere
I need to pay for some building work on the property so I need to save my money for that,PutMoneyElsewhere
I've earmarked the last of my savings for a new bathroom,PutMoneyElsewhere
Need to budget for new kitchen,PutMoneyElsewhere
I need to keep some cash aside for doing up the house when I move in,PutMoneyElsewhere
I need to keep some cash aside for doing up the house when I move in so I want to add the fee on,PutMoneyElsewhere
Spend money on improvements instead,PutMoneyElsewhere
I need to save some money to do home improvements when I move in so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
I've earmarked the last of my savings so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
Need to budget for new bathroom,PutMoneyElsewhere
"I need to keep some cash aside for doing up the house ",PutMoneyElsewhere
I've earmarked the last of my savings for a new kitchen so I want to add the fee on,PutMoneyElsewhere
I need to pay for some building work on the property so I need to save my budget,PutMoneyElsewhere
I need to keep some money aside to fix the roof,PutMoneyElsewhere
I need to save some money to do home improvements when I move in,PutMoneyElsewhere
I've earmarked the last of my savings so I want to add the fee on,PutMoneyElsewhere
Using savings for new kitchen instead,PutMoneyElsewhere
I've earmarked the last of my savings for a new bathroom so I want to add the fee on,PutMoneyElsewhere
Using savings for new bathroom,PutMoneyElsewhere
I need to pay for some building work on the property so I need to save my savings,PutMoneyElsewhere
I need to keep some cash aside for doing up the house  so I want to add the fee on,PutMoneyElsewhere
Using savings for new kitchen,PutMoneyElsewhere
I need to keep some money aside for a new bathroom,PutMoneyElsewhere
Using savings for new bathroom instead,PutMoneyElsewhere
Spend money on house things instead,PutMoneyElsewhere
I've earmarked the last of my savings for a new kitchen so I want to add the fee on even if this means paying more interest,PutMoneyElsewhere
My budget needs to go towards some home improvements,PutMoneyElsewhere
I need to pay for some building work on the property so I need to save my cash,PutMoneyElsewhere
Need to budget for furniture,PutMoneyElsewhere
I need to keep some cash aside for home improvements,PutMoneyElsewhere
Put money towards other things instead,PutMoneyElsewhere
I prefer to spend my money on other things,PutMoneyElsewhere
I need to save the rest of my cash,ShortTermSavings
I know it will cost more in the long run but I want to save money now,ShortTermSavings
I can pay interest on the fee to save money now,ShortTermSavings
I'd like to save money now  I don't mind paying the interest on the fee,ShortTermSavings
I don't mind paying the interest on the fee and save money now,ShortTermSavings
I need to save money now,ShortTermSavings
I want to save money now,ShortTermSavings
I would like to save money now,ShortTermSavings
I'd prefer to save money now,ShortTermSavings
I'd like to save money in the short term so add the fee on,ShortTermSavings
I'd rather save money in the short term,ShortTermSavings
I'd like to maximise my savings in the short term,ShortTermSavings
I'd like to maximise my short term savings,ShortTermSavings
" Not paying the fee will save me money in the short term",ShortTermSavings
I would like to save money in the short term,ShortTermSavings
I'd rather pay it off sooner and pay less interest,PayASAP
I want to it to be paid as soon as possible so there's less interest,PayASAP
I'd rather pay it off quickly so I have to pay less interest,PayASAP
I want to pay it off soon,PayASAP
I want to pay it off sooner,PayASAP
I'd rather pay more but get rid of the mortgage faster,PayASAP
I'd rather pay off the mortgage as soon as possible,PayASAP
I'd rather pay off the mortgage as fast as possible,PayASAP
I'm keen on paying off the mortgage as soon as possible,PayASAP
I'm keen to pay everything off as soon as possible,PayASAP
Pay it off ASAP,PayASAP
Pay off the whole balance ASAP,PayASAP
I want the shortest term to pay it off ASAP,PayASAP
I'd rather have higher payments and pay it off as soon as possible,PayASAP
I want to pay it off as quickly as possible,PayASAP
Pay it off over the shortest time frame,PayASAP
retire then,RetirementDate
I want to tie the mortgage in with my planned retirement date,RetirementDate
This ties in with my retirement date,RetirementDate
retiring then,RetirementDate
retirement date,RetirementDate
That's when I'll retire,RetirementDate
This term matches my retirement date,RetirementDate
I plan to retire after this time,RetirementDate
I'm due to retire after this time,RetirementDate
I want to have paid off my mortgage before my planned retirement date,RetirementDate
I want to pay off my mortgage before I retire,RetirementDate
I'm going to retire after this many years,RetirementDate
This is when I'm retiring,RetirementDate
I want to payoff my mortgage before my planned retirement date,RetirementDate
I want to payoff my mortgage before I retire,RetirementDate
I can't pay more per month,CantAffordHigherPayments
I can't afford paying more per month,CantAffordHigherPayments
It's the maximum I can pay per month,CantAffordHigherPayments
I can't afford paying more monthly,CantAffordHigherPayments
That's what my budget allows,CantAffordHigherPayments
My budget is too tight,CantAffordHigherPayments
I can't afford higher payments,CantAffordHigherPayments
Can't afford to pay any more,CantAffordHigherPayments
This is the maximum I can pay monthly,CantAffordHigherPayments
I can't afford to higher repayments,CantAffordHigherPayments
My budget won't cover higher repayments,CantAffordHigherPayments
I'm not able to pay any more,CantAffordHigherPayments
I can't afford large payments so I need to spread the cost over a longer term,LowerPayments
I need to spread the cost over a longer time period,LowerPayments
I need to spread the mortgage over a longer term in order to stretch my income to provide for my child,LowerPayments
I want to spread out my payments over a longer time period,LowerPayments
I want to spread the payments over a longer period,LowerPayments
I'd rather spread the cost over a longer term,LowerPayments
I want to keep the costs down by spreading it over a longer time,LowerPayments
Spread out the costs to minimise the payments,LowerPayments
Spread out the repayments over a longer term,LowerPayments
I want to split out the cost over a longer term,LowerPayments
I need to stretch out the costs over the longest time period,LowerPayments
I'd rather have smaller payments over a longer time,LowerPayments
I want to have lower payments over a longer time,LowerPayments
If I have a longer term I'll have lower payments,LowerPayments
I want a longer term to lower my payments,LowerPayments
I'd rather have lower payments over a longer term,LowerPayments
I don't mind paying more interest but I need lower payments,LowerPayments
I need my payments to be as low as possible,LowerPayments
I want lower payments,LowerPayments
I want to minimise my payments,LowerPayments
I want to spread out the cost over a long time so the payments are lower,LowerPayments
I need my payments to be low so I want to have the longest term possible,LowerPayments
I want to spread the payments over a longer time so they are lower,LowerPayments
I want the longest term allowed so that my mortgage payments are as low as possible,LowerPayments
I want the lowest payments,LowerPayments
I need to keep my repayments low,LowerPayments
I wanna have lower monthly payments,LowerPayments
A longer term will give me lower payments,LowerPayments
Keep my payments down,LowerPayments
stable payments,FixPayments
I'd like my monthly payment to be the same,FixPayments
I'd like to have the confidence that my payments will stay the same,FixPayments
I'd like to keep my payments consistent,FixPayments
I'd like to pay the same amount every month,FixPayments
" I like to be able to budget each month",FixPayments
I don't want my monthly payments to change,FixPayments
I want to pay a consistent figure,FixPayments
